,total_score_hist,u_hist,speed_hist
0,0.0,1.0013868751491894,1.0
1,0.0,1.0028973307794662,1.000277375029838
2,0.0,1.0045448030807802,1.0008013661797637
3,0.0,1.0063411841474066,1.001550053559967
4,0.0,1.0082926555395844,1.002508279677455
5,4.923826522420897e-13,1.33,1.0036651548498807
6,4.8251351540048655e-08,1.33,1.0689321238799048
7,0.00025139191642506464,1.33,1.121145699103924
8,0.009121141398751717,1.33,1.1629165592831392
9,0.03929415259494872,1.33,1.1963332474265114
10,0.07018419785877282,1.33,1.2230665979412092
11,0.10176786680000907,1.33,1.2444532783529674
12,0.13440356528207462,1.33,1.261562622682374
13,0.16825041755476605,1.33,1.2752500981458992
14,0.2027293737133558,1.33,1.2862000785167194
15,0.237470426922927,1.33,1.2949600628133755
16,0.2724289777974222,1.33,1.3019680502507005
17,0.3075695143326905,1.33,1.3075744402005605
18,0.34286377757007014,1.33,1.3120595521604483
19,0.37828927680829527,1.33,1.3156476417283587
20,0.41382811681614917,1.33,1.318518113382687
21,0.44946607782698594,1.33,1.3208144907061496
22,0.485191883479903,1.33,1.3226515925649198
23,0.5209966148193788,1.33,1.324121274051936
24,0.5568732411927257,1.33,1.3252970192415487
25,0.5928162446939775,1.33,1.3262376153932391
26,0.6288213194706748,1.33,1.3269900923145914
27,0.6648851309477597,1.33,1.327592073851673
28,0.701005123012164,1.33,1.3280736590813385
29,0.7371793635918024,1.33,1.3284589272650709
30,0.7734064209738085,1.33,1.3287671418120568
31,0.8096852647352433,1.33,1.3290137134496456
32,0.8460151863820858,1.33,1.3292109707597166
33,0.8823957357704758,1.33,1.3293687766077733
34,0.9188266701669185,1.33,1.3294950212862187
35,0.9553079134306401,1.33,1.329596017028975
36,0.9918395233027436,1.33,1.32967681362318
37,1.0284216651882727,1.33,1.3297414508985441
38,1.0650545911387017,1.33,1.3297931607188354
39,1.1017386229997268,1.33,1.3298345285750683
40,1.1384741388953148,1.33,1.3298676228600548
41,1.1752615623839902,1.33,1.3298940982880438
42,1.2121013537555063,1.33,1.3299152786304351
43,1.248994003041888,1.33,1.3299322229043482
44,1.28594002440161,1.33,1.3299457783234787
45,1.3229399516035683,1.33,1.3299566226587831
46,1.3599943343918908,1.33,1.3299652981270265
47,1.3971037355561875,1.33,1.3299722385016213
48,1.4342687285667386,1.33,1.329977790801297
49,1.4714898956620661,1.33,1.3299822326410378
50,1.5087678262987234,1.33,1.3299857861128304
51,1.546103115891074,1.33,1.3299886288902643
52,1.5834963647831968,1.33,1.3299909031122115
53,1.6209481774065646,1.33,1.3299927224897692
54,1.6584591615863686,1.33,1.3299941779918154
55,1.6960299279667403,1.33,1.3299953423934523
56,1.7336610895310476,1.33,1.329996273914762
57,1.77135326119818,1.33,1.3299970191318096
58,1.8091070594795398,1.33,1.3299976153054478
59,1.8469231021844958,1.33,1.3299980922443584
60,1.8848020081644974,1.33,1.3299984737954869
61,1.9227443970880014,1.33,1.3299987790363896
62,1.9607508892399301,1.33,1.3299990232291117
63,1.9988221053406305,1.33,1.3299992185832894
64,2.036958666380315,1.33,1.3299993748666317
65,2.0751611934657657,1.33,1.3299994998933053
66,2.11343030767673,1.33,1.3299995999146443
67,2.1517666299299627,1.33,1.3299996799317155
68,2.1901707808492645,1.33,1.3299997439453726
69,2.2286433806402206,1.33,1.329999795156298
70,2.2671850489685976,1.33,1.3299998361250385
71,2.305796404841575,1.33,1.3299998689000307
72,2.3444780664911535,1.33,1.3299998951200247
73,2.3832306512592307,1.33,1.3299999160960199
74,2.4220547754839328,1.33,1.329999932876816
75,2.460951054386888,1.33,1.329999946301453
76,2.499920101961195,1.33,1.3299999570411625
77,2.538962530859895,1.33,1.32999996563293
78,2.5780789522848067,1.33,1.329999972506344
79,2.617269975875618,1.33,1.3299999780050753
