,total_score_hist,u_hist,speed_hist
0,0.0,1.2410940302682079,1.0
1,0.0,1.2410940302682079,1.0482188060536417
2,0.0,1.2410940302682079,1.0867938508965551
3,0.0,1.2410940302682079,1.1176538867708858
4,0.0,1.2410940302682079,1.1423419154703502
5,1.5162097633995333e-05,1.2410940302682079,1.1620923384299218
6,0.0007463434994904726,1.2410940302682079,1.177892676797579
7,0.007656133533394478,1.2410940302682079,1.1905329474917048
8,0.029501454397316856,1.2410940302682079,1.2006451640470055
9,0.061182176311032926,1.2410940302682079,1.2087349372912461
10,0.09313051933213698,1.2410940302682079,1.2152067558866386
11,0.12558131611716966,1.2410940302682079,1.2203842107629526
12,0.15880021300791491,1.2410940302682079,1.2245261746640037
13,0.19263879664448635,1.2410940302682079,1.2278397457848447
14,0.22670778071780973,1.2410940302682079,1.2304906026815174
15,0.260842622377752,1.2410940302682079,1.2326112881988556
16,0.2950320488590274,1.2410940302682079,1.234307836612726
17,0.32926701617100634,1.2410940302682079,1.2356650753438225
18,0.3635402632714975,1.2410940302682079,1.2367508663286997
19,0.39784595532224337,1.2410940302682079,1.2376194991166014
20,0.43217939822323936,1.2410940302682079,1.2383144053469228
21,0.46653681017985976,1.2410940302682079,1.2388703303311799
22,0.5009151389043796,1.2410940302682079,1.2393150703185856
23,0.5353119153321355,1.2410940302682079,1.2396708623085102
24,0.5697251365556173,1.2410940302682079,1.2399554959004497
25,0.6041531721382517,1.2410940302682079,1.2401832027740014
26,0.6385946891364664,1.2410940302682079,1.2403653682728428
27,0.6730485920921432,1.2410940302682079,1.2405111006719158
28,0.7075139750044753,1.2410940302682079,1.2406276865911743
29,0.7419900828878583,1.2410940302682079,1.240720955326581
30,0.7764762810006207,1.2410940302682079,1.2407955703149065
31,0.8109720302120281,1.2410940302682079,1.2408552623055669
32,0.845476867281163,1.2410940302682079,1.2409030158980952
33,0.8799903890662857,1.2410940302682079,1.2409412187721178
34,0.9145122398793307,1.2410940302682079,1.2409717810713359
35,0.9490421013570807,1.2410940302682079,1.2409962309107103
36,0.9835796843461015,1.2410940302682079,1.24101579078221
37,1.018124722398992,1.2410940302682079,1.2410314386794097
38,1.0526769665598892,1.2410940302682079,1.2410439569971694
39,1.0872361811815152,1.2410940302682079,1.241053971651377
40,1.1218021405675285,1.2410940302682079,1.2410619833747434
41,1.1563746262751433,1.2410940302682079,1.2410683927534363
42,1.1909534249459544,1.2410940302682079,1.2410735202563907
43,1.225538326559282,1.2410940302682079,1.2410776222587543
44,1.2601291230234697,1.2410940302682079,1.2410809038606452
45,1.2947256070374586,1.2410940302682079,1.2410835291421578
46,1.3293275711684878,1.2410940302682079,1.241085629367368
47,1.363934807102583,1.2410940302682079,1.241087309547536
48,1.39854710503316,1.2410940302682079,1.2410886536916705
49,1.4331642531599922,1.2410940302682079,1.241089729006978
50,1.4677860372763427,1.2410940302682079,1.241090589259224
51,1.5024122404264892,1.2410940302682079,1.241091277461021
52,1.5370426426194292,1.2410940302682079,1.2410918280224585
53,1.5716770205873893,1.2410940302682079,1.2410922684716086
54,1.6063151475800361,1.2410940302682079,1.2410926208309285
55,1.6409567931871074,1.2410940302682079,1.2410929027183846
56,1.6756017231836384,1.2410940302682079,1.2410931282283493
57,1.7102496993931218,1.2410940302682079,1.2410933086363212
58,1.7449004795648717,1.2410940302682079,1.2410934529626987
59,1.779553817262614,1.2410940302682079,1.2410935684238007
60,1.814209461761913,1.2410940302682079,1.2410936607926821
61,1.8488671579545328,1.2410940302682079,1.2410937346877873
62,1.883526646258208,1.2410940302682079,1.2410937938038715
63,1.918187662530606,1.2410940302682079,1.241093841096739
64,1.9528499379865079,1.2410940302682079,1.2410938789310328
65,1.9875131991174375,1.2410940302682079,1.2410939091984678
66,2.0221771676131137,1.2410940302682079,1.241093933412416
67,2.05684156028424,1.2410940302682079,1.2410939527835745
68,2.091506088986235,1.2410940302682079,1.2410939682805013
69,2.126170460543602,1.2410940302682079,1.2410939806780428
70,2.1608343766746803,1.2410940302682079,1.2410939905960758
71,2.1954975339166007,1.2410940302682079,1.2410939985305023
72,2.230159623550283,1.2410940302682079,1.2410940048780434
73,2.2648203315253648,1.2410940302682079,1.2410940099560763
74,2.299479338384971,1.2410940302682079,1.2410940140185027
75,2.3341363191902547,1.2410940302682079,1.241094017268444
76,2.3687909434446652,1.2410940302682079,1.2410940198683968
77,2.403442875017903,1.2410940302682079,1.241094021948359
78,2.4380917720695416,1.2410940302682079,1.241094023612329
79,2.472737286972303,1.2410940302682079,1.2410940249435047
80,2.5073790662349835,1.2410940302682079,1.2410940260084455
81,2.542016750425026,1.2410940302682079,1.241094026860398
82,2.5766499740907554,1.2410940302682079,1.2410940275419602
83,2.6112783656832805,1.2410940302682079,1.2410940280872098
84,2.6459015474780867,1.2410940302682079,1.2410940285234096
85,2.6805191354963323,1.2410940302682079,1.2410940288723693
86,2.71513073942588,1.2410940302682079,1.241094029151537
87,2.749735962542084,1.2410940302682079,1.2410940293748713
88,2.784334401628364,1.2410940302682079,1.2410940295535386
