1.808626072898364967e-01, 4.083229289313868859e-01, 4.108144637787765618e-01
1.810512784342155623e-01, 4.082368324816574301e-01, 4.107118890841270353e-01
1.812404410010028388e-01, 4.081504942528464963e-01, 4.106090647461506093e-01
1.814300960385293870e-01, 4.080639136904935516e-01, 4.105059902709770059e-01
1.816202446101964074e-01, 4.079770902326253501e-01, 4.104026651571781592e-01
1.818108877945089352e-01, 4.078900233097386141e-01, 4.102990888957524507e-01
1.820020266851101187e-01, 4.078027123447806046e-01, 4.101952609701092767e-01
1.821936623908161079e-01, 4.077151567531309695e-01, 4.100911808560530059e-01
1.823857960356508601e-01, 4.076273559425822035e-01, 4.099868480217669364e-01
1.825784287588822774e-01, 4.075393093133209410e-01, 4.098822619277967538e-01
1.827715617150580396e-01, 4.074510162579080275e-01, 4.097774220270339884e-01
1.829651960740423522e-01, 4.073624761612587020e-01, 4.096723277646989736e-01
1.831593330210529447e-01, 4.072736884006232239e-01, 4.095669785783238037e-01
1.833539737566989014e-01, 4.071846523455658895e-01, 4.094613738977351813e-01
1.835491194970182427e-01, 4.070953673579453258e-01, 4.093555131450363760e-01
1.837447714735170046e-01, 4.070058327918932295e-01, 4.092493957345897937e-01
1.839409309332077080e-01, 4.069160479937935504e-01, 4.091430210729987138e-01
1.841375991386490218e-01, 4.068260123022618968e-01, 4.090363885590890258e-01
1.843347773679856749e-01, 4.067357250481234421e-01, 4.089294975838908552e-01
1.845324669149887298e-01, 4.066451855543917748e-01, 4.088223475306195787e-01
1.847306690890963832e-01, 4.065543931362468055e-01, 4.087149377746568391e-01
1.849293852154553497e-01, 4.064633471010129506e-01, 4.086072676835317274e-01
1.851286166349625506e-01, 4.063720467481366505e-01, 4.084993366169007434e-01
1.853283647043070803e-01, 4.062804913691642206e-01, 4.083911439265288656e-01
1.855286307960131165e-01, 4.061886802477182035e-01, 4.082826889562686246e-01
1.857294162984829133e-01, 4.060966126594757197e-01, 4.081739710420413392e-01
1.859307226160401560e-01, 4.060042878721443205e-01, 4.080649895118154680e-01
1.861325511689740364e-01, 4.059117051454387837e-01, 4.079557436855871244e-01
1.863349033935839394e-01, 4.058188637310577440e-01, 4.078462328753584831e-01
1.865377807422234635e-01, 4.057257628726594900e-01, 4.077364563851171297e-01
1.867411846833466615e-01, 4.056324018058382608e-01, 4.076264135108152442e-01
1.869451167015531434e-01, 4.055387797580994880e-01, 4.075161035403472853e-01
1.871495782976344557e-01, 4.054448959488361481e-01, 4.074055257535292296e-01
1.873545709886206001e-01, 4.053507495893030055e-01, 4.072946794220763111e-01
1.875600963078269401e-01, 4.052563398825922425e-01, 4.071835638095808174e-01
1.877661558049017188e-01, 4.051616660236083689e-01, 4.070721781714899956e-01
1.879727510458738815e-01, 4.050667271990425755e-01, 4.069605217550835707e-01
1.881798836132013986e-01, 4.049715225873475322e-01, 4.068485937994512081e-01
1.883875551058198650e-01, 4.048760513587111864e-01, 4.067363935354690319e-01
1.885957671391915724e-01, 4.047803126750310621e-01, 4.066239201857773100e-01
1.888045213453551641e-01, 4.046843056898881130e-01, 4.065111729647565286e-01
1.890138193729754557e-01, 4.045880295485201894e-01, 4.063981510785044660e-01
1.892236628873936732e-01, 4.044914833877951699e-01, 4.062848537248112679e-01
1.894340535706781903e-01, 4.043946663361847604e-01, 4.061712800931370770e-01
1.896449931216760143e-01, 4.042975775137370165e-01, 4.060574293645869970e-01
1.898564832560637183e-01, 4.042002160320493642e-01, 4.059433007118868342e-01
1.900685257063998712e-01, 4.041025809942410119e-01, 4.058288932993590614e-01
1.902811222221771625e-01, 4.040046714949254159e-01, 4.057142062828974494e-01
1.904942745698748607e-01, 4.039064866201826920e-01, 4.055992388099425305e-01
1.907079845330122980e-01, 4.038080254475310271e-01, 4.054839900194566193e-01
1.909222539122022166e-01, 4.037092870458993676e-01, 4.053684590418984435e-01
1.911370845252045592e-01, 4.036102704755981097e-01, 4.052526449991973312e-01
1.913524782069805086e-01, 4.035109747882913434e-01, 4.051365470047282313e-01
1.915684368097474721e-01, 4.034113990269672656e-01, 4.050201641632852345e-01
1.917849622030338430e-01, 4.033115422259102023e-01, 4.049034955710559269e-01
1.920020562737342618e-01, 4.032114034106704104e-01, 4.047865403155952446e-01
1.922197209261655437e-01, 4.031109815980356559e-01, 4.046692974757987171e-01
1.924379580821224123e-01, 4.030102757960012938e-01, 4.045517661218761551e-01
1.926567696809343422e-01, 4.029092850037405138e-01, 4.044339453153251163e-01
1.928761576795217925e-01, 4.028080082115745864e-01, 4.043158341089035934e-01
1.930961240524537437e-01, 4.027064444009429978e-01, 4.041974315466032586e-01
1.933166707920050686e-01, 4.026045925443729745e-01, 4.040787366636219846e-01
1.935377999082140421e-01, 4.025024516054492296e-01, 4.039597484863366450e-01
1.937595134289410437e-01, 4.024000205387833207e-01, 4.038404660322755801e-01
1.939818133999264560e-01, 4.022972982899832295e-01, 4.037208883100903423e-01
1.942047018848497841e-01, 4.021942837956217764e-01, 4.036010143195285504e-01
1.944281809653885251e-01, 4.020909759832062558e-01, 4.034808430514051358e-01
1.946522527412780923e-01, 4.019873737711471273e-01, 4.033603734875748636e-01
1.948769193303709624e-01, 4.018834760687260976e-01, 4.032396046009029122e-01
1.951021828686971826e-01, 4.017792817760652002e-01, 4.031185353552375616e-01
1.953280455105246560e-01, 4.016747897840948212e-01, 4.029971647053805506e-01
1.955545094284196206e-01, 4.015699989745216136e-01, 4.028754915970588213e-01
1.957815768133079615e-01, 4.014649082197969121e-01, 4.027535149668950987e-01
1.960092498745362732e-01, 4.013595163830844248e-01, 4.026312337423792465e-01
1.962375308399333940e-01, 4.012538223182277042e-01, 4.025086468418387353e-01
1.964664219558725777e-01, 4.011478248697182281e-01, 4.023857531744092775e-01
1.966959254873330565e-01, 4.010415228726619263e-01, 4.022625516400050727e-01
1.969260437179631285e-01, 4.009349151527472066e-01, 4.021390411292896649e-01
1.971567789501423307e-01, 4.008280005262118695e-01, 4.020152205236457443e-01
1.973881335050445551e-01, 4.007207777998100795e-01, 4.018910886951453376e-01
1.976201097227013870e-01, 4.006132457707790029e-01, 4.017666445065194991e-01
1.978527099620653318e-01, 4.005054032268057784e-01, 4.016418868111288898e-01
1.980859366010736811e-01, 4.003972489459939887e-01, 4.015168144529323579e-01
1.983197920367124334e-01, 4.002887816968301871e-01, 4.013914262664574073e-01
1.985542786850805486e-01, 4.001800002381501464e-01, 4.012657210767693328e-01
1.987893989814542572e-01, 4.000709033191051645e-01, 4.011396976994405783e-01
1.990251553803519813e-01, 3.999614896791281460e-01, 4.010133549405199282e-01
1.992615503555987544e-01, 3.998517580478994082e-01, 4.008866915965018096e-01
1.994985864003918918e-01, 3.997417071453129855e-01, 4.007597064542951504e-01
1.997362660273658275e-01, 3.996313356814418793e-01, 4.006323982911923487e-01
1.999745917686580332e-01, 3.995206423565038634e-01, 4.005047658748381867e-01
2.002135661759743002e-01, 3.994096258608272887e-01, 4.003768079631984111e-01
2.004531918206550745e-01, 3.992982848748163338e-01, 4.002485233045287027e-01
2.006934712937413212e-01, 3.991866180689161436e-01, 4.001199106373424241e-01
2.009344072060409436e-01, 3.990746241035785791e-01, 3.999909686903804218e-01
2.011760021881950078e-01, 3.989623016292269120e-01, 3.998616961825780525e-01
2.014182588907446614e-01, 3.988496492862211862e-01, 3.997320918230342635e-01
2.016611799841976360e-01, 3.987366657048228569e-01, 3.996021543109795071e-01
2.019047681590955268e-01, 3.986233495051601516e-01, 3.994718823357442106e-01
2.021490261260805166e-01, 3.985096992971928209e-01, 3.993412745767265792e-01
2.023939566159628223e-01, 3.983957136806765553e-01, 3.992103297033606779e-01
2.026395623797879741e-01, 3.982813912451277361e-01, 3.990790463750842343e-01
2.028858461889044562e-01, 3.981667305697885184e-01, 3.989474232413070531e-01
2.031328108350310691e-01, 3.980517302235907495e-01, 3.988154589413782092e-01
2.033804591303247922e-01, 3.979363887651208853e-01, 3.986831521045543503e-01
2.036287939074486741e-01, 3.978207047425840748e-01, 3.985505013499671123e-01
2.038778180196396672e-01, 3.977046766937692990e-01, 3.984175052865910893e-01
2.041275343407764897e-01, 3.975883031460124561e-01, 3.982841625132111929e-01
2.043779457654480991e-01, 3.974715826161615562e-01, 3.981504716183904558e-01
2.046290552090214432e-01, 3.973545136105409159e-01, 3.980164311804376687e-01
2.048808656077100721e-01, 3.972370946249149659e-01, 3.978820397673749620e-01
2.051333799186420281e-01, 3.971193241444527233e-01, 3.977472959369052208e-01
2.053866011199286523e-01, 3.970012006436918761e-01, 3.976121982363796103e-01
2.056405322107324185e-01, 3.968827225865026453e-01, 3.974767452027650472e-01
2.058951762113358785e-01, 3.967638884260521470e-01, 3.973409353626118912e-01
2.061505361632097744e-01, 3.966446966047686984e-01, 3.972047672320215272e-01
2.064066151290814832e-01, 3.965251455543050696e-01, 3.970682393166133917e-01
2.066634161930036573e-01, 3.964052336955036226e-01, 3.969313501114928311e-01
2.069209424604224745e-01, 3.962849594383591190e-01, 3.967940981012184065e-01
2.071791970582462505e-01, 3.961643211819840804e-01, 3.966564817597695858e-01
2.074381831349138006e-01, 3.960433173145719299e-01, 3.965184995505143251e-01
2.076979038604627181e-01, 3.959219462133610756e-01, 3.963801499261762062e-01
2.079583624265977926e-01, 3.958002062445997726e-01, 3.962414313288025181e-01
2.082195620467593988e-01, 3.956780957635092633e-01, 3.961023421897313934e-01
2.084815059561915818e-01, 3.955556131142486387e-01, 3.959628809295597796e-01
2.087441974120103350e-01, 3.954327566298785346e-01, 3.958230459581110749e-01
2.090076396932716296e-01, 3.953095246323255485e-01, 3.956828356744029329e-01
2.092718361010391659e-01, 3.951859154323462686e-01, 3.955422484666145100e-01
2.095367899584529292e-01, 3.950619273294920242e-01, 3.954012827120551021e-01
2.098025046107960534e-01, 3.949375586120726367e-01, 3.952599367771313377e-01
2.100689834255633492e-01, 3.948128075571211149e-01, 3.951182090173155914e-01
2.103362297925282232e-01, 3.946876724303579609e-01, 3.949760977771138437e-01
2.106042471238103175e-01, 3.945621514861559209e-01, 3.948336013900338726e-01
2.108730388539425127e-01, 3.944362429675042359e-01, 3.946907181785532792e-01
2.111426084399384007e-01, 3.943099451059736693e-01, 3.945474464540879023e-01
2.114129593613587044e-01, 3.941832561216809250e-01, 3.944037845169603984e-01
2.116840951203781684e-01, 3.940561742232535636e-01, 3.942597306563681570e-01
2.119560192418520339e-01, 3.939286976077953639e-01, 3.941152831503526577e-01
2.122287352733822352e-01, 3.938008244608504627e-01, 3.939704402657674964e-01
2.125022467853834585e-01, 3.936725529563692150e-01, 3.938252002582473543e-01
