,0,1,2
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,5.34132850030765e-06,0.0,0.0
7,0.0005668331324385822,0.0,0.0
8,0.010542832551161747,0.0,0.0
9,0.0593455312128917,0.0,0.0
10,0.12453811481732185,0.0,0.0
11,0.1249971265983996,0.0,0.0
12,0.12525768944503515,0.0,0.0
13,0.12543584565689417,1.1463740414300473e-14,0.0
14,0.12536479075607987,1.706191175634183e-11,0.0
15,0.1249969391532813,3.0872545083697446e-09,0.0
16,0.12444141065499531,1.8063492088948502e-07,5.333851335563549e-15
17,0.124456756987923,4.846684765963546e-06,2.8019902900476157e-12
18,0.12464674304385581,7.110523829056704e-05,3.673477904167932e-10
19,0.12464480550884087,0.0006241577808070456,1.9821925831778155e-08
20,0.12460531029087818,0.0034863660317543295,5.529464115743874e-07
21,0.1246893434762141,0.012935262738550769,9.109867687861869e-06
22,0.12461354433919791,0.03268088734555536,9.54595049713571e-05
23,0.12463746735269497,0.05806489015480682,0.0006726695581942319
24,0.124701906403478,0.07631458691884216,0.003303062808762654
25,0.12470291037899119,0.08188847574627345,0.011565810399452226
26,0.12469022130276095,0.08187185167673623,0.02942865448208529
27,0.12465626066914288,0.08184157242641694,0.05549216559696398
28,0.12466730046327527,0.08184101799498752,0.08000080661157669
29,0.12459627461583868,0.08178664740351378,0.09340531699310294
30,0.12465525956713994,0.08181760018589386,0.09668918933379937
31,0.12467760127916332,0.08182445100263538,0.09676525966398615
32,0.12465068400079692,0.08179889225746317,0.09684037274902407
33,0.1246510581313946,0.08179111816093163,0.09691481741182228
34,0.12458166489013181,0.08173739167854363,0.09698874605520572
35,0.12460169656042702,0.08174210367680448,0.09706231470676767
36,0.1246601443877112,0.08177174167363477,0.09713561047578889
37,0.12467426306818817,0.08177202871679601,0.09720868802596144
38,0.12465984143331704,0.0817533511369866,0.09728164115932392
39,0.1246794768097722,0.08175678299876127,0.09735460354717361
40,0.12468404249901181,0.08175012533286305,0.09742764524368393
41,0.1246511680013333,0.08171871782342721,0.0975007664521853
42,0.12465383758915577,0.08171040375304547,0.097573959224354
43,0.1246592198531747,0.08170364905175746,0.09764717556990543
44,0.1247508761697763,0.0817531992514454,0.09772043097638232
45,0.12481609448652027,0.08178518190678132,0.09779370350075947
46,0.1248909502675087,0.08182324359084403,0.09786700817895894
47,0.12480883510645965,0.08175824771438633,0.09794025970074571
48,0.12467970954439223,0.08166226105057461,0.09801343040500003
49,0.12463947992388343,0.08162429716314898,0.09808656948919893
50,0.12476218268074699,0.08169279608470835,0.09815977082878606
51,0.12475910776350907,0.08167869691269149,0.09823296390859108
52,0.1245833824583413,0.08155136428016503,0.09830605433547969
53,0.12457450081308165,0.08153303318870808,0.0983791443563652
54,0.12468475392534051,0.08159242356508042,0.09845230291061113
55,0.12473488445249324,0.08161222912977337,0.09852549006533103
56,0.12474338177975244,0.08160458400824089,0.09859867665551325
57,0.12483322959896517,0.08164992994298989,0.09867190991534353
58,0.1247774787707876,0.08159981902905718,0.09874510863127903
59,0.12465890657984074,0.08150843689816029,0.09881823912502816
60,0.12459839314754596,0.0814548424736167,0.0988913322723566
61,0.12451398814442183,0.08138544312759159,0.09896436613500859
62,0.12463971058711247,0.08145314145076119,0.09903745786282656
63,0.12485871784568531,0.08158150513876927,0.09911066212013288
64,0.12495624876217501,0.08163022201280057,0.09918391142805025
65,0.12494035940781051,0.08160461902587146,0.09925714243656908
66,0.12490188412639842,0.08156407301535641,0.09933034298702705
67,0.12482845060863437,0.08150052579191774,0.09940349037835214
68,0.12476599130492108,0.08144395965696029,0.09947658342991994
69,0.12473230063896112,0.08140596114502098,0.09954962806523014
70,0.12478898030861121,0.08142668684259542,0.0996226708472956
71,0.12470541156373473,0.08135565127838014,0.09969563580179978
72,0.12457074088736296,0.08125107733406663,0.09976851080525109
73,0.12455724223270528,0.08122533257900826,0.099841384028917
74,0.12465399471147055,0.08127124516831052,0.09991432357107692
75,0.12462856999548033,0.08123728932297253,0.09998724906795595
76,0.12474429070018035,0.08129512006776249,0.10006023676021396
77,0.12465932633193434,0.08122196619040137,0.10013317215025527
78,0.12472753234595703,0.08124839579998916,0.10020614484306646
79,0.12463559745642872,0.0811703036727357,0.10027904805068466
80,0.12468931037789985,0.08118685107727254,0.10035195051500209
81,0.1247568339381578,0.0812121328616322,0.10042485550240138
82,0.12483743266677211,0.08124566200129994,0.10049777975061674
83,0.1245992238916111,0.08107154816861714,0.10057055385588383
84,0.12464144902585347,0.08107974573610613,0.10064335819653031
85,0.12470816606305155,0.08110366084222509,0.10071621231456092
86,0.12474684487116383,0.08110911578859907,0.10078908483907278
87,0.12467228341627815,0.08104073499607391,0.10086187910438603
88,0.12456932755585927,0.08095370698475801,0.10093455107873738
89,0.12467681438545135,0.08100318598385957,0.10100721779227768
90,0.12465872725146138,0.08097083154365124,0.10107982511891112
91,0.12460619221000724,0.08091590821912945,0.10115238145731832
92,0.12464761920141304,0.080921777931045,0.1012249616640811
93,0.12464993844185923,0.08090200798668541,0.10129754911671064
94,0.12469839587280289,0.08091193994590018,0.1013701676609591
95,0.12478235818998162,0.08094466948712875,0.10144283445259818
96,0.12471832262532902,0.08088120070004132,0.10151546480200833
97,0.12472056087671529,0.0808605170226353,0.10158809943429328
98,0.12460495728260404,0.08076325559487861,0.1016606628472902
99,0.12476743918489215,0.08084600213039542,0.10173330081398886
100,0.12490868692103671,0.08091469404219102,0.10180598685241891
101,0.12474303750599786,0.0807843883815758,0.10187853912442471
102,0.12477709290032205,0.08078322714802262,0.10195107873315622
103,0.12467641848983808,0.08069464492866837,0.10202353301679291
104,0.12460337052902679,0.08062377319833468,0.10209591894377779
