,total_score_hist,u_hist,speed_hist
0,0.0,0.7,1.0
1,0.0,0.7,0.9400000000000001
2,0.0,0.7,0.8920000000000001
3,0.0,0.7,0.8536000000000001
4,0.0,0.7,0.8228800000000002
5,0.0,0.7,0.7983040000000002
6,0.0,0.7,0.7786432000000002
7,0.0,0.7,0.7629145600000002
8,0.0,0.7,0.7503316480000003
9,0.011046578559742927,0.7,0.7402653184000003
10,0.036143473024765775,0.7,0.7322122547200003
11,0.07232560645206007,0.7,0.7257698037760003
12,0.105967065646515,0.7,0.7206158430208003
13,0.13141206148907184,0.7,0.7164926744166402
14,0.14689043497807674,0.7,0.7131941395333122
15,0.15161366806172588,0.7,0.7105553116266499
16,0.1452776381308445,0.7,0.7084442493013199
17,0.1278220869302495,0.7,0.7067553994410559
18,0.0993840952258505,0.7,0.7054043195528448
19,0.06032199594527252,0.7,0.7043234556422758
20,0.011217940291547074,0.7,0.7034587645138207
21,-0.04715916630330473,0.7,0.7027670116110566
22,-0.1139138886283967,0.7,0.7022136092888454
23,-0.18808874410411378,0.7,0.7017708874310763
24,-0.26871870647311735,0.7,0.701416709944861
25,-0.35486924998797903,0.7,0.7011333679558889
26,-0.44566038906525385,0.7,0.7009066943647111
27,-0.5402833608692533,0.7,0.700725355491769
28,-0.6380143988416475,0.7,0.7005802843934152
29,-0.7382254331174039,0.7,0.7004642275147323
30,-0.8403889799703234,0.7,0.7003713820117858
31,-0.9440752499473952,0.7,0.7002971056094287
32,-1.0489420822130897,0.7,0.700237684487543
33,-1.1547204957674981,0.7,0.7001901475900344
34,-1.2611992542561565,0.7,0.7001521180720276
35,-1.3682110376782919,0.7,0.7001216944576221
36,-1.4756214588886114,0.7,0.7000973555660976
37,-1.5833210204304675,0.7,0.7000778844528781
38,-1.6912194926328028,0.7,0.7000623075623025
39,-1.799242041362789,0.7,0.700049846049842
40,-1.90732652996748,0.7,0.7000398768398737
41,-2.015421581670204,0.7,0.700031901471899
42,-2.123485124059943,0.7,0.7000255211775193
43,-2.231483227458325,0.7,0.7000204169420154
44,-2.339389107682191,0.7,0.7000163335536124
45,-2.4471822079145586,0.7,0.7000130668428899
