8.271420957053137180e-01, 1.728579042946863653e-01
8.272198831242324468e-01, 1.727801168757675254e-01
8.272952551616413741e-01, 1.727047448383585704e-01
8.273682194203545448e-01, 1.726317805796454830e-01
8.274387834975328593e-01, 1.725612165024670852e-01
8.275069549841865824e-01, 1.724930450158134176e-01
8.275727414646856239e-01, 1.724272585353143761e-01
8.276361505162788124e-01, 1.723638494837211599e-01
8.276971897086220498e-01, 1.723028102913778392e-01
8.277558666033146828e-01, 1.722441333966852617e-01
8.278121887534439782e-01, 1.721878112465560773e-01
8.278661637031382581e-01, 1.721338362968617697e-01
8.279177989871295829e-01, 1.720822010128704727e-01
8.279671021303217637e-01, 1.720328978696783750e-01
8.280140806473691439e-01, 1.719859193526308838e-01
8.280587420422623746e-01, 1.719412579577376254e-01
8.281010938079216288e-01, 1.718989061920783989e-01
8.281411434257982540e-01, 1.718588565742017460e-01
8.281788983654847502e-01, 1.718211016345151387e-01
8.282143660843314104e-01, 1.717856339156685619e-01
8.282475540270706205e-01, 1.717524459729293795e-01
8.282784696254495982e-01, 1.717215303745504018e-01
8.283071202978697922e-01, 1.716928797021301245e-01
8.283335134490340534e-01, 1.716664865509658633e-01
8.283576564696006894e-01, 1.716423435303992828e-01
8.283795567358450684e-01, 1.716204432641550148e-01
8.283992216093278849e-01, 1.716007783906720596e-01
8.284166584365720842e-01, 1.715833415634278603e-01
8.284318745487433411e-01, 1.715681254512566034e-01
8.284448772613415279e-01, 1.715551227386585553e-01
8.284556738738955151e-01, 1.715443261261045405e-01
8.284642716696674070e-01, 1.715357283303325930e-01
8.284706779153613310e-01, 1.715293220846386413e-01
8.284748998608399972e-01, 1.715251001391600860e-01
8.284769447388468100e-01, 1.715230552611531623e-01
8.284768197647359722e-01, 1.715231802352641111e-01
8.284745321362066983e-01, 1.715254678637932739e-01
8.284700890330459755e-01, 1.715299109669540800e-01
8.284634976168752107e-01, 1.715365023831248170e-01
8.284547650309050937e-01, 1.715452349690948231e-01
8.284438983996951222e-01, 1.715561016003049055e-01
8.284309048289190125e-01, 1.715690951710809320e-01
8.284157914051372140e-01, 1.715842085948627027e-01
8.283985651955736440e-01, 1.716014348044263005e-01
8.283792332478991938e-01, 1.716207667521007507e-01
8.283578025900207864e-01, 1.716421974099792414e-01
8.283342802298748753e-01, 1.716657197701251525e-01
8.283086731552282700e-01, 1.716913268447717855e-01
8.282809883334828482e-01, 1.717190116665170407e-01
8.282512327114867068e-01, 1.717487672885133210e-01
8.282194132153488653e-01, 1.717805867846511347e-01
8.281855367502614085e-01, 1.718144632497385360e-01
8.281496102003255144e-01, 1.718503897996745688e-01
8.281116404283819232e-01, 1.718883595716180213e-01
8.280716342758481785e-01, 1.719283657241517660e-01
