,0,1,2,3
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,0.016614366425454757,0.0,0.0,0.0
6,0.020860135240954047,0.0,0.0,0.0
7,0.0215649305597101,0.0,0.0,0.0
8,0.021458093230182614,0.0,0.0,0.0
9,0.021207164334925102,0.0,0.0,0.0
10,0.020966597356648034,0.036989674214963505,0.0,0.0
11,0.020766690706265415,0.08400424665215371,0.0,0.0
12,0.020608048343455032,0.12104740767642899,0.0,0.0
13,0.020484921599286308,0.14429965136597206,0.0,0.0
14,0.020391002096500327,0.17626249421021736,0.0,0.0
15,0.020320754817171896,0.21438881908448337,0.0008883785054465712,0.0
16,0.020269605023699837,0.2551667654899971,0.003177298277720588,0.0
17,0.020233845137803918,0.2968611986680459,0.00651214898045591,0.0
18,0.020210491195405925,0.3385525361594517,0.010128141871197321,0.0
19,0.02019714777884272,0.37941046583842797,0.01337582742065844,0.0
20,0.02019189382704759,0.41850026227271003,0.01593021943358545,0.0006658613793668922
21,0.020193189318069807,0.4549242903211845,0.017749702248458236,0.00352567610857023
22,0.020199799917144108,0.48798896511565276,0.018950159319329248,0.010151300683124694
23,0.020210736399713748,0.5172800184716111,0.019696352431097016,0.021152128184754117
24,0.02022520603371406,0.542656415616419,0.020139951927854366,0.035866064584383774
25,0.020242573585840903,0.5642009644320229,0.02039641872046888,0.052784501377076035
26,0.02026233005571754,0.5821563111932346,0.020543985947957016,0.07022738740641157
27,0.02028406761024874,0.5968628773255986,0.020631457353152624,0.08684963438104522
28,0.02030745949071427,0.6087070348304714,0.020687394997746734,0.10184105654963208
29,0.020332243907425728,0.6180824928525317,0.020727660323319123,0.11488515288893017
30,0.020358211131546906,0.6253645328924203,0.0207606680586052,0.12600499965025896
31,0.02038519315007285,0.6308949712290498,0.020790695103389767,0.1353994652985861
32,0.02041305537548439,0.634975146164468,0.020819820442545687,0.1433219273331514
33,0.020441690002317648,0.6378643698168192,0.020849001463556605,0.1500120928581912
34,0.020471010683700934,0.639781758532132,0.02087864486484947,0.1556695852610702
35,0.02050094826573982,0.6409099052142767,0.020908898009966273,0.16045214791405965
36,0.020531447369629596,0.6413993485705359,0.020939792473554073,0.16448422597938298
37,0.02056246365307503,0.6413731804672973,0.02097131233634511,0.16786721887109446
38,0.020593961616034072,0.6409314109692337,0.021003425420671403,0.17068751500038234
39,0.020625912842609638,0.6401548983131697,0.021036096832929313,0.17302145809749855
40,0.020658294592402458,0.6391087700804269,0.021069294324060274,0.17493781617778648
41,0.02069108867186216,0.6378453324239411,0.021102990006773303,0.17649870294993664
42,0.020724280529977688,0.6364065025054619,0.021137160536623373,0.1777597730645285
